h2o,ex,peg,mdx,chi6,p70adeGFP,dCas9,5,7,8,10,11,12,14,16,17,18,20,21,22,23,24,25,26,27,28,29,32,0,mg,k,energy,Intensity,,,,,,,,,,,,,,,,
265,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,45,52.5,110,412,,,,,,,,,,,,,,,,
265,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,45,52.5,110,457,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,45,52.5,110,469,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,45,52.5,110,567,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,45,52.5,110,1221,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,45,52.5,110,1343,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,45,52.5,110,1058,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,45,52.5,110,1230,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,45,52.5,110,2345,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,45,52.5,110,3432,,,,,,,,,,,,,,,,
220,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,492,,,,,,,,,,,,,,,,
220,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,27580,,,,,,,,,,,,,,,,
220,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,37202,,,,,,,,,,,,,,,,
220,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,48259,,,,,,,,,,,,,,,,
